Item Id,Title,Area,Priority,Status,Cadence,Source,Why It Matters,Next Action,Acceptance Gate,Last Synced At UTC
desktop-premium-ui-polish,Desktop premium UI polish,Desktop client,P0,active,daily until stable,Human tester feedback,"Unreadable dark-mode controls, clipped text, and awkward dialogs make the app feel unfinished.","Finish the all-surface color, spacing, labels, close-action, and no-scroll-trap pass across Avalonia.","Every ComboBox, TextBox, NumericUpDown, menu, overlay, dialog, and tab is readable in light and dark mode without hover.",2026-06-20T16:14:44Z
linux-dark-mode-cachyos,Linux KDE dark-mode compatibility,Desktop client,P0,active,daily until fixed,CachyOS tester feedback,Arch/KDE users saw white-on-white and black-on-black text in basic workflows.,Audit every themed control under KDE dark mode and lock Chummer-owned surfaces to coherent brushes.,"CachyOS/KDE screenshots show readable text and backgrounds across launch, account, builder, help, and report issue windows.",2026-06-20T16:14:44Z
character-builder-core-usability,Character builder core usability,Character creation,P0,active,daily until usable,Human tester feedback,"New users cannot trust the builder if attributes, karma, build method, metatype, and defaults are unclear.","Specialize SR4/SR5/SR6 builder labels, remove duplicate attribute steppers, show remaining budget, and fix Modify/Add overlays.",Mouse-only SR4 BP troll decker and SR5 karma workflows can be completed without unclear labels or disappearing popups.,2026-06-20T16:14:44Z
add-workflows-parity,All Add workflows behave like Chummer5A,Desktop client,P0,active,daily until covered,Regression reports,Add Quality already slipped; every Add surface needs the same standard.,"Audit Add Quality, Skill, Gear, Ware, Weapon, Armor, Contact, Spell, Critter, and companion workflows with screenshots.","Every Add dialog has readable colors, interactive navigation, search/filter, commit/cancel, and Chummer5A parity screenshots.",2026-06-20T16:14:44Z
origin-dossier-first-story,Origin Dossier starts with the story,Origin Dossier,P0,book-first-ui-pushed,daily until released,Product direction,"The feature should feel like creating a book, not filling an internal options form.","Verify the next installed desktop build starts from race/metatype and archetype, shows the story first, and labels the primary handoff as a book before audio/video.","A user can start a dossier, read the story first, open the FlipLink-style book, then request audio/video without touching advanced controls.",2026-06-20T16:14:44Z
origin-dossier-alice-seed,Alice uses Origin Dossier story as build seed,Alice,P0,active,daily until covered,Product direction,Alice should reason from the character's story instead of raw combo boxes.,Feed the approved story into Alice suggestions for new builds and support read-only dossier generation for finished characters.,"Origin Dossier E2E proves story generation, Alice follow-up, and established-character dossier creation.",2026-06-20T16:14:44Z
alice-build-from-scratch,Alice can build from scratch,Alice,P0,active,daily until covered,User workflow,"Opening Alice without a character should produce a complete build, not an error.","Add no-character mode, explicit build button, option explanations, and GM grant constraints.","Alice creates a complete character from settings and explains options such as legality, ware, qualities, and GM constraints.",2026-06-20T16:14:44Z
ai-disable-global,Global AI-off mode hides AI features,Account and privacy,P0,desktop-option-policy-pushed,daily until covered,User request,"Users who do not want AI should not see AI-labeled buttons, companions, critters, or behavior.","Verify the next installed desktop build with AI disabled hides Alice, Origin Dossier, explain companions, and AI/metasapient character options while keeping normal critter workflows available.","With AI disabled, public and desktop flows hide AI entry points and tests prove no AI-only choices are offered.",2026-06-20T16:14:44Z
account-claim-copy-flow,Claim your copy account flow,Account linking,P0,active,daily until stable,User preference,Claim your copy is clearer than login via webpage and should not require manual activation.,"Redesign the account linking dialog around claiming the installed copy, with automatic online claim when possible.","Installed app can claim the downloaded copy online, shows a premium handoff, and falls back cleanly if the browser step fails.",2026-06-20T16:14:44Z
personalized-claim-copy-video,Personalized claim-copy uplink video,Account linking,P1,design-ready,weekly until media lane exists,Product direction,The login handoff should feel premium while using only consented user data.,Render a short decker host-entry scene that shows available profile data but only extracts the email for linking.,Help menu can replay the login video on demand and account linking can show the personalized email render safely.,2026-06-20T16:14:44Z
